"Год","Регион","Всего регистраций","0-13","14-17","18-24","25-35","36-55","55+"
2024,Кабардино-Балкарская Республика,9086,531,5831,1835,387,443,61
2024,Калининградская область,10692,1249,4857,1573,953,1566,494
2024,Калужская область,7226,261,3805,1228,567,1118,247
2024,Камчатский край,2847,261,1271,434,290,518,73
2024,Карачаево-Черкесская Республика,3701,51,2146,719,265,470,50
2024,Кемеровская область - Кузбасс,19999,1204,10031,3767,1451,2957,591
2024,Кировская область,10345,787,5092,2101,701,1386,280
2024,Костромская область,3789,169,1884,833,225,556,123
2024,Краснодарский край,55828,2146,25801,12339,5019,8558,1968
2024,Красноярский край,28704,1548,10686,6036,2968,5730,1739
2024,Курганская область,7626,708,3672,1517,472,963,294
2024,Курская область,12444,392,5581,3477,939,1648,409
2024,Ленинградская область,12684,828,6097,2038,1204,2006,511
2024,Липецкая область,11305,1065,6260,1861,631,1274,214
2024,Луганская Народная Республика,7664,276,3704,1896,703,918,167
2024,Магаданская область,1086,57,475,220,135,172,27
2024,Москва,388606,12685,172899,103923,36063,53187,9891
2024,Московская область,28050,1522,13746,4364,2543,4838,1037
2024,Мурманская область,6040,475,1938,1080,817,1467,263
2024,Ненецкий автономный округ,411,33,149,76,34,97,23
2024,Нижегородская область,30284,2287,13145,5842,2876,5235,899
2024,Новгородская область,6754,376,2943,1523,547,1145,221
2024,Новосибирская область,24114,1070,9766,5992,2269,4157,861
2024,Омская область,9043,405,2962,2416,1125,1809,327
2024,Оренбургская область,16481,1263,7212,3420,1522,2506,560
2024,Орловская область,5403,134,2113,1715,432,880,129
2024,Пензенская область,12476,904,5695,2916,914,1668,379
2024,Пермский край,23468,1073,8264,4278,2554,5905,1397
2024,Приморский край,17854,899,6934,3799,1686,3369,1170
2024,Псковская область,4294,167,2177,1075,285,491,99
2024,Республика Адыгея,3808,472,1626,586,315,523,286
2024,Республика Алтай,2509,165,1345,399,171,318,112
2024,Республика Башкортостан,56322,2089,23053,10655,5260,12574,2698
2024,Республика Бурятия,11545,482,6602,2175,733,1174,381
